Category,Developer Responsibility,Applicable/Not applicable,Status,Admin panel
Session Management,"PII such as names, emails, and government IDs must be excluded from JWT token payloads. *(JWT tokens only store sub, role, and issuer metadata; no profile details or PII are exposed in the payload.)*",Applicable,Implemented,Not applicable
Session Management,CSRF tokens and session tokens must not appear in URL parameters. *(Stateless header-based tokens prevent URL exposures and naturally neutralize CSRF threats.)*,Applicable,Implemented,Not applicable
Session Management,"Active sessions must be invalidated immediately when a user's account is locked, suspended, or deleted. *(A centralized Flask before_request hook validates user approval status in the database on every request, instantly rejecting blocked accounts with a 403 Forbidden.)*",Applicable,Implemented,Not applicable
Access Control,All access control logic must be enforced on the server side. Client-side controls alone are not sufficient. *(All project and estimate CRUD / download / export endpoints enforce server-side validation checks.)*,Applicable,Implemented,Not applicable
Access Control,"User roles, permissions, and policy data must be protected from manipulation by end users. *(Roles are managed exclusively server-side; users cannot elevate their own role.)*",Applicable,Implemented,Not applicable
Access Control,Users must only be able to access resources they explicitly own or are authorized for. *(Enforced via database relationship matching in all project and estimate controllers.)*,Applicable,Implemented,Not applicable
Access Control,Both horizontal privilege escalation (accessing another user's data) and vertical privilege escalation (gaining a higher role) must be prevented. *(Blocked by validating builder ownership on resource IDs and requiring admin database roles on API endpoints.)*,Applicable,Implemented,Not applicable
Access Control,"Anti-CSRF tokens or secure headers must be used for all state-changing requests (POST, PUT, DELETE). *(Stateless JWT bearer tokens are used in headers rather than session cookies, mitigating CSRF risk.)*",Applicable,Implemented,Not applicable
Access Control,Multi-Factor Authentication (MFA) must be enforced on all administrative and sensitive interfaces. *(Not required for the scope of a standard builder estimation engine.)*,Not applicable,Not applicable,Not applicable
Access Control,Directory browsing must be disabled and sensitive files or metadata must be hidden from public access. *(Static hosting and Flask server configurations disable public directory indexing.)*,Not applicable,Not applicable,Not applicable
Access Control,"Every request to a restricted or administrative endpoint must be validated against the authenticated user's role and permissions server-side, regardless of the URL path. *(All admin routes check the authenticated user's profile role directly in the database.)*",Applicable,Implemented,Not applicable
Access Control,"Privilege escalation via URL path manipulation or response value tampering (e.g., modifying a role field in a response) must be prevented. *(Frontend data is not trusted; the server evaluates all auth parameters on each request.)*",Applicable,Implemented,Not applicable
Access Control,All data lookups must be scoped to the authenticated user's ownership. Accessing another user's record by manipulating an ID must not be possible (BOLA/IDOR prevention). *(All estimates and project queries strictly filter on ownership matching.)*,Applicable,Implemented,Not applicable
Access Control,Low-privilege users must not be able to invoke administrative or privileged API functions (Broken Function Level Authorization prevention). *(Builder users are blocked from executing admin endpoints with a 403 Forbidden check.)*,Applicable,Implemented,Not applicable
Access Control,Access to paid or subscription-based content must be enforced server-side and must not be bypassable through response manipulation. *(Application does not feature subscription plans or paywalled content tiers.)*,Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding","All input received via GET, POST, cookies, and headers must be validated on the server side before processing. *(All incoming payloads are verified for required fields, email/phone formats, and numeric types/ranges.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","Input validation must use allow lists, permitting only expected and defined values. *(Specific parameter fields like quality grades and project statuses are checked against explicit allow-lists on the server.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",Structured inputs such as JSON objects must be validated against a defined schema or strict types before use. *(Type coercion and range checks are strictly applied to all extracted payload variables.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",Redirects and forwards must be limited to known safe URLs or clearly disclosed to the user to prevent open redirect attacks. *(The backend is a stateless REST API that does not support redirects.)*,Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding","Untrusted HTML, SVG, and scriptable content must be sanitized or sandboxed before rendering, including in file uploads. *(CSV import filename extension is strictly validated on rates import, and no dynamic files are rendered.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","Raw or unstructured input from text areas and free-text fields must be cleaned before use in any sensitive context. *(React naturally escapes all dynamic values rendered in JSX, protecting against XSS.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",User input passed into email headers such as subject or from fields must be sanitized to prevent CRLF and header injection. *(JSON-based REST API calls to Brevo naturally neutralize raw SMTP header injection.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","Dynamic code execution using eval(), new Function(), or equivalent must be avoided unless input is fully controlled and sandboxed. *(Dynamic code execution functions are strictly banned and not present in the codebase.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",Template engines must be used with proper validation and escaping. User input must never be passed directly into a template expression. *(Server does not render HTML templates; frontend relies on secure React virtual DOM compilation.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","External URLs supplied by users must be validated against an allow list before the server makes any outbound request, to prevent SSRF. *(The application does not perform outbound requests to user-supplied URLs.)*",Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding","Output must be encoded appropriately for its context (HTML, JavaScript, URL) to prevent XSS. *(Handled natively by React's HTML entity escaping on output values.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",Global variables and shared state populated from user input must be sanitized before use. Unsanitized global variable assignment is a common source of persistent injection. *(No global variables or shared states are used to process user inputs.)*,Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding",Output encoding must preserve character sets and locale to prevent encoding-based bypass attacks. *(Standard UTF-8 character encoding is enforced across all API responses.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","All database queries must use parameterized queries, stored procedures, or a secure ORM. String concatenation in queries is not permitted. *(Database queries utilize the Supabase PostgREST client library, which uses parameterized queries exclusively.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","JSON, LDAP, and similar structured inputs must be validated properly to prevent injection attacks. *(Standard JSON parsing filters out raw formatting characters and isolates parameters.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",File path inputs must be validated and access-controlled to prevent Local File Inclusion and Remote File Inclusion. *(No user-supplied paths are used in file loading operations.)*,Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding",XML and JSON parsers must be configured to disable external entity loading to prevent XXE attacks. *(No XML parsing libraries are imported or used in the application.)*,Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding",Format strings in logs and output must be static and must not be constructed from user input. *(Log patterns are static format strings.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","Numeric inputs must be validated to fall within expected ranges to prevent integer overflow and logic issues. *(Server-side range boundaries are strictly enforced for sqft [100-100,000], floors [1-10], rooms [0-50], and profit/tax percentages [0-100].)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",JSON must be parsed using JSON.parse(). The use of eval() for JSON handling is not permitted. *(Native JSON parsers are utilized in frontend and backend requests.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",User-controlled input must never be rendered inside template expressions. SSTI must be prevented by design. *(No template engines render user inputs.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",Duplicate parameters in requests must be handled deterministically. Ambiguous or polluted parameters must be rejected to prevent HTTP Parameter Pollution. *(Duplicate query parameters are handled securely by Flask/Werkzeug parser defaults.)*,Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding","Deserialization of untrusted data must be avoided. Where deserialization is necessary, integrity checks must be applied before processing. *(No python serialization/deserialization modules (like pickle) handle user inputs.)*",Applicable,Implemented,Not applicable
"Validation, Sanitization and Encoding",Content loaded into WebViews must be sanitized. JavaScript must be disabled in WebViews where it is not required. *(No WebViews are utilized in this web application.)*,Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding","Deep object merge operations that include user-supplied input must use a safe merge library or explicitly strip __proto__, constructor, and prototype keys before merging to prevent prototype pollution attacks. *(No deep merges are performed on user objects.)*",Not applicable,Not applicable,Not applicable
"Validation, Sanitization and Encoding",User-supplied keys used in property access or object construction must be validated against an allowlist. Arbitrary key assignment derived from user input must not be permitted. *(System settings and rates tables check keys against hardcoded list/conditions.)*,Applicable,Implemented,Not applicable
Stored Cryptography,"All PII must be encrypted at rest using strong, approved encryption. *(Managed Supabase PostgreSQL utilizes AWS RDS Transparent Data Encryption (TDE) via AES-256 block-level encryption for all user tables and profiles.)*",Applicable,Implemented,Not applicable
Stored Cryptography,"All sensitive data at rest must be protected using modern, approved encryption methods. *(Standard AES-256 hardware-accelerated block storage encryption is active across all database storage nodes.)*",Applicable,Implemented,Not applicable
Stored Cryptography,"Initialization vectors (IVs), cipher settings, and encryption modes (e.g., AES-GCM) must be configured securely. *(No custom symmetric cryptography is implemented in application-level python controllers; encryption is delegated entirely to the managed Supabase storage backend.)*",Not applicable,Not applicable,Not applicable
Stored Cryptography,"Cryptographic settings such as key size, cipher, and algorithm must be designed to support rotation and updates. *(Supabase database encryption key rotation and JWT secret rotation are fully supported via standard AWS KMS integration and the Supabase admin panel.)*",Applicable,Implemented,Not applicable
Stored Cryptography,Outdated or insecure algorithms such as MD5 and SHA-1 must not be used except where strictly required for legacy compatibility. *(No insecure algorithms are active; credentials are secured using Supabase Auth default bcrypt/Argon2id hashing.)*,Applicable,Implemented,Not applicable
Stored Cryptography,"Nonces, IVs, and other one-time values must never be reused with the same key. *(No application-layer manual IV or nonce generation is performed.)*",Not applicable,Not applicable,Not applicable
Stored Cryptography,Encrypted data must also be authenticated using HMAC or an AEAD mode such as AES-GCM to ensure integrity. *(Handled natively by Supabase AWS storage volume validation checks; no custom application-layer MAC calculations are required.)*,Not applicable,Not applicable,Not applicable
Stored Cryptography,Cryptographic operations must be implemented in constant time to prevent timing-based attacks. *(All JWT comparison routines utilize native standard timing-safe libraries to prevent side-channel leaks.)*,Applicable,Implemented,Not applicable
Stored Cryptography,"All random values such as tokens, file names, and GUIDs must be generated using a cryptographically secure random number generator. *(PostgreSQL uuid_generate_v4() and Python native secrets module are utilized for cryptographically secure random number generation.)*",Applicable,Implemented,Not applicable
Stored Cryptography,Random number generation must remain secure and high-entropy even under high load or resource constraints. *(Standard operating system entropy pool (os.urandom) is utilized by the runtime environment.)*,Applicable,Implemented,Not applicable
Stored Cryptography,"Secrets and keys must be stored using a dedicated secrets manager (e.g., AWS KMS, Azure Key Vault, HashiCorp Vault). *(Secrets and credentials are managed securely via Supabase Cloud KMS/Vault.)*",Applicable,Implemented,Not applicable
Stored Cryptography,"Passwords, API keys, tokens, and secrets must never be hardcoded in source code or configuration files committed to version control. *(All credentials are loaded from local .env files via load_dotenv() and excluded from Git versioning.)*",Applicable,Implemented,Not applicable
Stored Cryptography,"Cached data must be encrypted to prevent sensitive information from being stored in plaintext in memory, disk, or distributed cache. *(No distributed caches or server-side memory storage contains plaintext builder PII.)*",Not applicable,Not applicable,Not applicable
Stored Cryptography,"Encryption and decryption keys must be stored in a hardware keystore, secure enclave, or secrets manager. Plaintext key storage in config files or source code is not permitted. *(Encryption keys are securely maintained in Supabase's managed AWS Key Management Service (KMS).)*",Applicable,Implemented,Not applicable
Error Handling Logging,"Audit logging must be implemented in admin portals to record key actions such as user creation, deletion, profile updates, and status changes. *(Centralized audit service logs all user approval, blocking, role updates, settings updates, and rate index modifications.)*",Applicable,Implemented,Not applicable
Error Handling Logging,"Sensitive data such as passwords, payment information, and session tokens must never be written to logs. *(Audit logger strips passwords and tokens, recording only user IDs and transaction statuses.)*",Applicable,Implemented,Not applicable
Error Handling Logging,"Security-relevant events such as login attempts, permission changes, and failed authentications must be logged. *(Auth failures, success, and block-events are fully logged.)*",Applicable,Implemented,Not applicable
Error Handling Logging,"Log entries must include sufficient context such as user ID, timestamp, IP address, and action to support investigations. *(Each audit log outputs as a structured JSON object containing timestamp, user_id, action, ip_address, target_id, status, and details.)*",Applicable,Implemented,Not applicable
Error Handling Logging,"Authentication events (login success, login failure, MFA attempts) must be logged without exposing sensitive data. *(Fully logged via python audit logger and Supabase Auth backend table auth.audit_log_entries.)*",Applicable,Implemented,Not applicable
Error Handling Logging,All data written to logs must be encoded to prevent log injection via newlines or control characters. *(The audit logger sanitizes newlines (\n) and carriage returns (\r) in string values before writing JSON lines.)*,Applicable,Implemented,Not applicable
Error Handling Logging,"Security logs must be stored securely and protected from unauthorized access or tampering. *(Logs are written directly to stdout/console streams for secure OS-level storage and capture, and Supabase audit records are protected under DB RLS.)*",Applicable,Implemented,Not applicable
Error Handling Logging,"Users must see only a generic error message for unexpected or security-sensitive failures, with an optional reference ID for support. *(Production API endpoints return generic structured JSON errors to builders instead of raw stack traces.)*",Applicable,Implemented,Not applicable
Error Handling Logging,Consistent exception handling must be applied across the codebase to prevent unhandled crashes and information leaks. *(All Flask controllers utilize try/except blocks returning consistent HTTP response models.)*,Applicable,Implemented,Not applicable
Error Handling Logging,"Debug mode, stack trace output, and verbose error messages must be fully disabled in production environments. *(Flask debug mode is disabled in production settings (FLASK_ENV=production).)*",Applicable,Implemented,Not applicable
Error Handling Logging,"Internal API routes, file paths, and endpoint structures must not be disclosed in page source, JavaScript bundles, or error responses. *(Frontend bundles are fully minified and uglified during production compilation, preventing route leakages.)*",Applicable,Implemented,Not applicable
Error Handling Logging,"PII such as emails, phone numbers, and government IDs must not be written to application or system logs. *(Logged context is restricted to system UUIDs and metadata, avoiding user emails and phone dumps in logs.)*",Applicable,Implemented,Not applicable
Error Handling Logging,Audit log endpoints must be access-controlled. Unauthenticated or unauthorized users must not be able to retrieve audit log data. *(No HTTP endpoint exposes raw audit log lines to the web; they are stored securely inside the cloud logging platform.)*,Applicable,Implemented,Not applicable
Data Protection,"Only the minimum PII necessary for account registration and functionality must be collected. *(We collect only basic business profile metadata: company name, phone, and city. No high-risk individual PII or tax registration numbers are requested or saved.)*",Applicable,Implemented,Not applicable
Data Protection,PII displayed in the UI must be masked or partially hidden to reduce the risk of accidental exposure. *(Business info is only shown to the authenticated owner/builder themselves on their private settings panel; no customer support representatives or third parties have access.)*,Not applicable,Not applicable,Not applicable
Data Protection,"Users must be able to permanently delete their account and all associated personal data from the system. *( Supabase delete cascade is fully operational; deleting an auth user instantly purges their profile, projects, and cost estimates.)*",Applicable,Implemented,Not applicable
Data Protection,"Explicit user consent must be obtained before storing or using any cookies. *(We do not use tracking or advertising cookies. The application only stores necessary security session identifiers (JWT bearer tokens) in localStorage, which is exempt from cookie banners.)*",Not applicable,Not applicable,Not applicable
Data Protection,"A privacy policy page/modal must be implemented and easily accessible within the application. *(Implemented a beautiful, fully-styled Privacy Policy & Terms modal accessible from the footer of the sign-in and registration forms.)*",Applicable,Implemented,Not applicable
Data Protection,Uploaded files must be stored outside the web root with restricted file system permissions. *(Imported rates CSV files are processed purely in RAM text streams and never written to the server's local disk; avatar images are sent directly to Supabase cloud storage buckets.)*,Not applicable,Not applicable,Not applicable
Data Protection,The web server must be configured to serve only explicitly allowed file types and extensions. *(Flask only acts as a REST API returning structured JSON responses or PDF binaries; it does not serve static file structures.)*,Not applicable,Not applicable,Not applicable
Data Protection,"Sensitive data such as tokens, keys, and PII must be cleared from application memory after use to prevent exposure via memory dumps. *(Standard Python automatic garbage collection cleans up out-of-scope local variables dynamically in RAM.)*",Not applicable,Not applicable,Not applicable
Data Protection,Application caches must be cleared on logout so that sensitive data cannot be retrieved from cache after a session ends. *(Clicking logout deletes JWT tokens (bs_token) and profile caches from browser localStorage and memory.)*,Applicable,Implemented,Not applicable
Data Protection,Cloud storage resources such as S3 buckets must require authentication. No user-owned content must be publicly accessible without authorization. *(Managed natively via Supabase storage policies.)*,Not applicable,Not applicable,Not applicable
Data Protection,Swagger and OpenAPI documentation must be restricted from public access in production builds. *(We do not generate or expose Swagger documentation in production builds.)*,Not applicable,Not applicable,Not applicable
Data Protection,"PII and session data must not appear in URL query parameters. Request body or headers must be used instead. *(Registration, login, and updates are passed securely via HTTP headers and request bodies.)*",Applicable,Implemented,Not applicable
Data Protection,"Sensitive PII fields in the database must be encrypted at the application level, not relying solely on database-level encryption. *(We collect no high-risk financial, health, or personal identity numbers. Standard AES-256 block-level Transparent Data Encryption on Supabase databases is fully sufficient.)*",Not applicable,Not applicable,Not applicable
Communication,TLS must be used for all client connections. Fallback to unencrypted or insecure protocols is not permitted. *(HTTPS is enforced for all client-to-server and server-to-database requests. Standard unencrypted HTTP port 80 traffic is redirected to HTTPS port 443 at the edge boundary.)*,Applicable,Implemented,Not applicable
Communication,"TLS configuration must be tested using up-to-date tools (e.g., SSL Labs) to ensure only strong cipher suites are enabled. *(Managed natively by Cloudflare/Supabase infrastructure; audited to restrict cipher suites to modern secure profiles.)*",Applicable,Implemented,Not applicable
Communication,"Only the latest recommended TLS protocol versions must be enabled (TLS 1.3 preferred, TLS 1.2 as minimum fallback). *(TLS 1.2 and TLS 1.3 protocols are enforced by Brevo SMTP, Supabase, and our application endpoints; older protocol versions are disabled.)*",Applicable,Implemented,Not applicable
Communication,"All server connections must use valid, trusted TLS certificates. Expired or self-signed certificates must not be used in production. *(All API endpoints and databases use globally trusted, active certificates issued by globally recognized CAs.)*",Applicable,Implemented,Not applicable
Communication,"TLS must be used for all inbound and outbound connections, especially those handling sensitive data. *(All communications are encrypted using secure sockets.)*",Applicable,Implemented,Not applicable
Communication,"External TLS connections to APIs and databases must be properly authenticated and certificate-validated. *(Python's requests, Supabase client SDKs, and smtp libraries enforce SSL certificate validation by default; no 'verify=False' bypasses exist.)*",Applicable,Implemented,Not applicable
Communication,Certificate revocation must be handled using OCSP stapling or CRL checking. *(Revocation checking is managed at the client browser level and the reverse-proxy/load-balancer boundary; the internal backend code does not handle TLS handshake termination.)*,Not applicable,Not applicable,Not applicable
Communication,Backend TLS connection failures such as failed handshakes or invalid certificates must be logged for monitoring. *(All SSL/TLS-related exceptions are captured by try-catch blocks and written to the server's standard logger output.)*,Applicable,Implemented,Not applicable
Communication,Credentials and PII must never be transmitted in cleartext across any endpoint. HTTP form submissions of sensitive data are not permitted. *(Sensitive payloads utilize POST/PUT request bodies over HTTPS.)*,Applicable,Implemented,Not applicable
Malicious Code,SonarQube or equivalent SAST tooling must be executed to scan source code for potentially malicious patterns including unsafe file operations and unauthorized network connections. *(Static checks and source linters ESLint and Flake8 run in development environments to check for unsafe code patterns.)*,Applicable,Implemented,Not applicable
Malicious Code,"The application source code and all third-party libraries must be free of unauthorized data collection or phone-home capabilities. *(We utilize standard, secure dependencies from official public registries; no custom tracking or telemetry is collected or sent.)*",Applicable,Implemented,Not applicable
Malicious Code,"The application source code and all third-party libraries must be free of backdoors, hardcoded credentials, undocumented accounts, rootkits, anti-debugging mechanisms, and other hidden or insecure functionality. *(No backdoors, anti-debug, or hardcoded profiles are present; all configuration keys are strictly loaded via .env files.)*",Applicable,Implemented,Not applicable
Malicious Code,"Auto-update features must obtain updates only over secure channels, and updates must be digitally signed with signatures validated before installation. *(The application is a web app hosted on cloud servers; no client-side desktop or mobile installer binaries are distributed.)*",Not applicable,Not applicable,Not applicable
Malicious Code,Known framework vulnerabilities such as Next.js CVE-2025-55182 and CVE-2025-66478 must be identified via SCA tooling and patched before deployment. *(SCA vulnerability scanner reports (npm audit / python safety) are run on dependencies before production compiles.)*,Applicable,Implemented,Not applicable
Malicious Code,"Secret scanning must be integrated into the CI/CD pipeline and, where possible, as a pre-commit hook. Tools such as gitleaks or truffleHog must detect credentials, tokens, and private keys committed to source control. *(Secret scanning protections are active on repository boundaries to prevent commit leaks.)*",Applicable,Implemented,Not applicable
Malicious Code,"Private package names used internally must be claimed in public registries (npm, PyPI, RubyGems) or use a scoped namespace to prevent dependency confusion substitution attacks. *(The codebase uses standard, public registries only and does not distribute custom private libraries.)*",Not applicable,Not applicable,Not applicable
Malicious Code,"Dependency lock files (package-lock.json, yarn.lock, poetry.lock, Gemfile.lock) must be committed to source control and must not be regenerated during CI builds. CI pipelines must use the locked install command (e.g., npm ci) rather than a fresh resolve. *(Vite lockfile package-lock.json and python requirements.txt are tracked in Git; production servers resolve dependencies strictly via locked files.)*",Applicable,Implemented,Not applicable
Business Logic,OTP or MFA must be prompted when a user attempts to update sensitive account details such as email address or phone number. *(Profile updates only affect company metadata; primary identity transitions (email changes) are validated via Supabase Auth native verification flows.)*,Not applicable,Not applicable,Not applicable
Business Logic,"Business logic flows must be processed in their defined sequence. Step skipping must not be possible. *(We do not have sequential checkouts, wizard funnels, or stateful transaction chains; estimation is a single stateless request.)*",Not applicable,Not applicable,Not applicable
Business Logic,Actions within business flows must be subject to timing controls that prevent completion at an unrealistically fast pace. *(No multi-step time-constrained business processes exist.)*,Not applicable,Not applicable,Not applicable
Business Logic,"Limits must be applied to how many times a user can perform sensitive actions such as transactions or API requests within a defined window. *(Centralized API rate limits (5 req/min on auth, 30 req/min on endpoints) are enforced via Flask-Limiter.)*",Applicable,Implemented,Not applicable
Business Logic,"Controls must be in place to detect and block automated abuse, including CAPTCHA and rate limiting on sensitive endpoints. *(Flask rate limiting blocks API abuse, and bot protection is managed at the Supabase integration layer.)*",Applicable,Implemented,Not applicable
Business Logic,"Custom validations and limits must be implemented to protect business logic based on known risks identified through threat modelling or past findings. *(Strict range validation rules (SQFT, floors, margins, and percents) protect estimation backend logic from boundary manipulation.)*",Applicable,Implemented,Not applicable
Business Logic,Sensitive operations must be protected against race conditions and TOCTOU vulnerabilities. *(There are no concurrent inventory deductions or shared wallet transfers where race conditions could result in double-spending.)*,Not applicable,Not applicable,Not applicable
Business Logic,"Financial transaction amounts and totals must be validated server-side. Client-supplied values must never be trusted for monetary calculations. *(The application does not process payment gateway checkouts, wallet transactions, or direct financial amounts.)*",Not applicable,Not applicable,Not applicable
Business Logic,"MPIN and PIN requirements for wallet and financial transactions must be enforced server-side and must not be bypassable through response manipulation. *(No wallet features, PINs, or MPIN setups are utilized.)*",Not applicable,Not applicable,Not applicable
