Developer Responsibility,Applicable/Not applicable,Status
"JWT tokens must be invalidated server-side upon logout, using token blacklisting or short-lived access tokens with refresh token rotation.",Applicable,To Be Updated / Implemented
JWT access token expiry must be set to a short duration of 15 to 60 minutes.,Applicable,To Be Updated / Implemented
"PII such as names, emails, and government IDs must be excluded from JWT token payloads.",Applicable,To Be Updated / Implemented
CSRF tokens and session tokens must not appear in URL parameters.,Applicable,Already Implemented
"Active sessions must be invalidated immediately when a user's account is locked, suspended, or deleted.",Applicable,To Be Updated / Implemented
Access Control,,
All access control logic must be enforced on the server side. Client-side controls alone are not sufficient.,Applicable,To Be Updated / Implemented
"User roles, permissions, and policy data must be protected from manipulation by end users.",Applicable,To Be Updated / Implemented
Users must only be able to access resources they explicitly own or are authorized for.,Applicable,To Be Updated / Implemented
Both horizontal privilege escalation (accessing another user's data) and vertical privilege escalation (gaining a higher role) must be prevented.,Applicable,To Be Updated / Implemented
"Anti-CSRF tokens or secure headers must be used for all state-changing requests (POST, PUT, DELETE).",Applicable,To Be Updated / Implemented
Multi-Factor Authentication (MFA) must be enforced on all administrative and sensitive interfaces.,Not applicable,N/A
Directory browsing must be disabled and sensitive files or metadata must be hidden from public access.,Applicable,To Be Updated / Implemented
"Every request to a restricted or administrative endpoint must be validated against the authenticated user's role and permissions server-side, regardless of the URL path.",Applicable,To Be Updated / Implemented
"Privilege escalation via URL path manipulation or response value tampering (e.g., modifying a role field in a response) must be prevented.",Applicable,To Be Updated / Implemented
All data lookups must be scoped to the authenticated user's ownership. Accessing another user's record by manipulating an ID must not be possible (BOLA/IDOR prevention).,Applicable,To Be Updated / Implemented
Low-privilege users must not be able to invoke administrative or privileged API functions (Broken Function Level Authorization prevention).,Applicable,To Be Updated / Implemented
Access to paid or subscription-based content must be enforced server-side and must not be bypassable through response manipulation.,Applicable,To Be Updated / Implemented
"Validation, Sanitization and Encoding",,
"All input received via GET, POST, cookies, and headers must be validated on the server side before processing.",Applicable,To Be Updated / Implemented
"Input validation must use allow lists, permitting only expected and defined values.",Applicable,To Be Updated / Implemented
Structured inputs such as JSON objects must be validated against a defined schema or strict types before use.,Applicable,To Be Updated / Implemented
Redirects and forwards must be limited to known safe URLs or clearly disclosed to the user to prevent open redirect attacks.,Applicable,Already Implemented
"Untrusted HTML, SVG, and scriptable content must be sanitized or sandboxed before rendering, including in file uploads.",Applicable,To Be Updated / Implemented
Raw or unstructured input from text areas and free-text fields must be cleaned before use in any sensitive context.,Applicable,To Be Updated / Implemented
User input passed into email headers such as subject or from fields must be sanitized to prevent CRLF and header injection.,Applicable,To Be Updated / Implemented
"Dynamic code execution using eval(), new Function(), or equivalent must be avoided unless input is fully controlled and sandboxed.",Applicable,To Be Updated / Implemented
Template engines must be used with proper validation and escaping. User input must never be passed directly into a template expression.,Applicable,To Be Updated / Implemented
"External URLs supplied by users must be validated against an allow list before the server makes any outbound request, to prevent SSRF.",Applicable,Already Implemented
"Output must be encoded appropriately for its context (HTML, JavaScript, URL) to prevent XSS.",Applicable,To Be Updated / Implemented
Global variables and shared state populated from user input must be sanitized before use. Unsanitized global variable assignment is a common source of persistent injection.,Applicable,To Be Updated / Implemented
Output encoding must preserve character sets and locale to prevent encoding-based bypass attacks.,Applicable,To Be Updated / Implemented
"All database queries must use parameterized queries, stored procedures, or a secure ORM. String concatenation in queries is not permitted.",Applicable,Already Implemented
"JSON, LDAP, and similar structured inputs must be validated properly to prevent injection attacks.",Applicable,To Be Updated / Implemented
File path inputs must be validated and access-controlled to prevent Local File Inclusion and Remote File Inclusion.,Applicable,To Be Updated / Implemented
XML and JSON parsers must be configured to disable external entity loading to prevent XXE attacks.,Applicable,To Be Updated / Implemented
Format strings in logs and output must be static and must not be constructed from user input.,Applicable,Already Implemented
Numeric inputs must be validated to fall within expected ranges to prevent integer overflow and logic issues.,Applicable,To Be Updated / Implemented
JSON must be parsed using JSON.parse(). The use of eval() for JSON handling is not permitted.,Applicable,To Be Updated / Implemented
User-controlled input must never be rendered inside template expressions. SSTI must be prevented by design.,Applicable,To Be Updated / Implemented
Duplicate parameters in requests must be handled deterministically. Ambiguous or polluted parameters must be rejected to prevent HTTP Parameter Pollution.,Applicable,To Be Updated / Implemented
"Deserialization of untrusted data must be avoided. Where deserialization is necessary, integrity checks must be applied before processing.",Applicable,To Be Updated / Implemented
Content loaded into WebViews must be sanitized. JavaScript must be disabled in WebViews where it is not required.,Not applicable,N/A
"Deep object merge operations that include user-supplied input must use a safe merge library or explicitly strip __proto__, constructor, and prototype keys before merging to prevent prototype pollution attacks.",Not applicable,N/A
User-supplied keys used in property access or object construction must be validated against an allowlist. Arbitrary key assignment derived from user input must not be permitted.,Applicable,To Be Updated / Implemented
Stored Cryptography,,
"All PII must be encrypted at rest using strong, approved encryption.",Applicable,To Be Updated / Implemented
"All sensitive data at rest must be protected using modern, approved encryption methods.",Applicable,To Be Updated / Implemented
"Initialization vectors (IVs), cipher settings, and encryption modes (e.g., AES-GCM) must be configured securely.",Applicable,To Be Updated / Implemented
"Cryptographic settings such as key size, cipher, and algorithm must be designed to support rotation and updates.",Applicable,To Be Updated / Implemented
Outdated or insecure algorithms such as MD5 and SHA-1 must not be used except where strictly required for legacy compatibility.,Applicable,To Be Updated / Implemented
"Nonces, IVs, and other one-time values must never be reused with the same key.",Applicable,To Be Updated / Implemented
Encrypted data must also be authenticated using HMAC or an AEAD mode such as AES-GCM to ensure integrity.,Applicable,To Be Updated / Implemented
Cryptographic operations must be implemented in constant time to prevent timing-based attacks.,Applicable,To Be Updated / Implemented
"All random values such as tokens, file names, and GUIDs must be generated using a cryptographically secure random number generator.",Applicable,To Be Updated / Implemented
Random number generation must remain secure and high-entropy even under high load or resource constraints.,Applicable,To Be Updated / Implemented
"Secrets and keys must be stored using a dedicated secrets manager (e.g., AWS KMS, Azure Key Vault, HashiCorp Vault).",Applicable,Already Implemented
"Passwords, API keys, tokens, and secrets must never be hardcoded in source code or configuration files committed to version control.",Applicable,Already Implemented
"Cached data must be encrypted to prevent sensitive information from being stored in plaintext in memory, disk, or distributed cache.",Applicable,Already Implemented
"Encryption and decryption keys must be stored in a hardware keystore, secure enclave, or secrets manager. Plaintext key storage in config files or source code is not permitted.",Applicable,To Be Updated / Implemented
Error Handling and Logging,,
"Audit logging must be implemented in admin portals to record key actions such as user creation, deletion, profile updates, and status changes.",Applicable,To Be Updated / Implemented
"Sensitive data such as passwords, payment information, and session tokens must never be written to logs.",Applicable,Already Implemented
"Security-relevant events such as login attempts, permission changes, and failed authentications must be logged.",Applicable,To Be Updated / Implemented
"Log entries must include sufficient context such as user ID, timestamp, IP address, and action to support investigations.",Applicable,To Be Updated / Implemented
"Authentication events (login success, login failure, MFA attempts) must be logged without exposing sensitive data.",Not applicable,N/A
All data written to logs must be encoded to prevent log injection via newlines or control characters.,Applicable,To Be Updated / Implemented
Security logs must be stored securely and protected from unauthorized access or tampering.,Applicable,To Be Updated / Implemented
"Users must see only a generic error message for unexpected or security-sensitive failures, with an optional reference ID for support.",Applicable,Already Implemented
Consistent exception handling must be applied across the codebase to prevent unhandled crashes and information leaks.,Applicable,Already Implemented
"Debug mode, stack trace output, and verbose error messages must be fully disabled in production environments.",Applicable,Already Implemented
"Internal API routes, file paths, and endpoint structures must not be disclosed in page source, JavaScript bundles, or error responses.",Applicable,To Be Updated / Implemented
"PII such as emails, phone numbers, and government IDs must not be written to application or system logs.",Applicable,To Be Updated / Implemented
Audit log endpoints must be access-controlled. Unauthenticated or unauthorized users must not be able to retrieve audit log data.,Applicable,To Be Updated / Implemented
Data Protection,,
Only the minimum PII necessary for account registration and functionality must be collected.,Applicable,To Be Updated / Implemented
PII displayed in the UI must be masked or partially hidden to reduce the risk of accidental exposure.,Applicable,To Be Updated / Implemented
Users must be able to permanently delete their account and all associated personal data from the system.,Applicable,Already Implemented
Explicit user consent must be obtained before storing or using any cookies.,Applicable,To Be Updated / Implemented
A privacy policy page must be implemented and easily accessible within the application.,Applicable,To Be Updated / Implemented
Uploaded files must be stored outside the web root with restricted file system permissions.,Applicable,To Be Updated / Implemented
The web server must be configured to serve only explicitly allowed file types and extensions.,Applicable,To Be Updated / Implemented
"Sensitive data such as tokens, keys, and PII must be cleared from application memory after use to prevent exposure via memory dumps.",Applicable,To Be Updated / Implemented
Application caches must be cleared on logout so that sensitive data cannot be retrieved from cache after a session ends.,Applicable,To Be Updated / Implemented
Cloud storage resources such as S3 buckets must require authentication. No user-owned content must be publicly accessible without authorization.,Not applicable,N/A
Swagger and OpenAPI documentation must be restricted from public access in production builds.,Applicable,To Be Updated / Implemented
PII and session data must not appear in URL query parameters. Request body or headers must be used instead.,Applicable,To Be Updated / Implemented
"Sensitive PII fields in the database must be encrypted at the application level, not relying solely on database-level encryption.",Applicable,To Be Updated / Implemented
Communication,,
TLS must be used for all client connections. Fallback to unencrypted or insecure protocols is not permitted.,Applicable,To Be Updated / Implemented
"TLS configuration must be tested using up-to-date tools (e.g., SSL Labs) to ensure only strong cipher suites are enabled.",Applicable,To Be Updated / Implemented
"Only the latest recommended TLS protocol versions must be enabled (TLS 1.3 preferred, TLS 1.2 as minimum fallback).",Applicable,To Be Updated / Implemented
"All server connections must use valid, trusted TLS certificates. Expired or self-signed certificates must not be used in production.",Applicable,To Be Updated / Implemented
"TLS must be used for all inbound and outbound connections, especially those handling sensitive data.",Applicable,To Be Updated / Implemented
External TLS connections to APIs and databases must be properly authenticated and certificate-validated.,Applicable,To Be Updated / Implemented
Certificate revocation must be handled using OCSP stapling or CRL checking.,Applicable,To Be Updated / Implemented
Backend TLS connection failures such as failed handshakes or invalid certificates must be logged for monitoring.,Applicable,To Be Updated / Implemented
Credentials and PII must never be transmitted in cleartext across any endpoint. HTTP form submissions of sensitive data are not permitted.,Applicable,Already Implemented
Malicious Code,,
SonarQube or equivalent SAST tooling must be executed to scan source code for potentially malicious patterns including unsafe file operations and unauthorized network connections.,Applicable,To Be Updated / Implemented
The application source code and all third-party libraries must be free of unauthorized data collection or phone-home capabilities.,Applicable,To Be Updated / Implemented
"The application source code and all third-party libraries must be free of backdoors, hardcoded credentials, undocumented accounts, rootkits, anti-debugging mechanisms, and other hidden or insecure functionality.",Applicable,Already Implemented
"Auto-update features must obtain updates only over secure channels, and updates must be digitally signed with signatures validated before installation.",Applicable,To Be Updated / Implemented
Known framework vulnerabilities such as Next.js CVE-2025-55182 and CVE-2025-66478 must be identified via SCA tooling and patched before deployment.,Applicable,To Be Updated / Implemented
"Secret scanning must be integrated into the CI/CD pipeline and, where possible, as a pre-commit hook. Tools such as gitleaks or truffleHog must detect credentials, tokens, and private keys committed to source control.",Applicable,To Be Updated / Implemented
"Private package names used internally must be claimed in public registries (npm, PyPI, RubyGems) or use a scoped namespace to prevent dependency confusion substitution attacks.",Applicable,To Be Updated / Implemented
"Dependency lock files (package-lock.json, yarn.lock, poetry.lock, Gemfile.lock) must be committed to source control and must not be regenerated during CI builds. CI pipelines must use the locked install command (e.g., npm ci) rather than a fresh resolve.",Applicable,To Be Updated / Implemented
Business Logic,,
OTP or MFA must be prompted when a user attempts to update sensitive account details such as email address or phone number.,Not applicable,N/A
Business logic flows must be processed in their defined sequence. Step skipping must not be possible.,Applicable,To Be Updated / Implemented
Actions within business flows must be subject to timing controls that prevent completion at an unrealistically fast pace.,Applicable,To Be Updated / Implemented
Limits must be applied to how many times a user can perform sensitive actions such as transactions or API requests within a defined window.,Applicable,Already Implemented
"Controls must be in place to detect and block automated abuse, including CAPTCHA and rate limiting on sensitive endpoints.",Applicable,To Be Updated / Implemented
Custom validations and limits must be implemented to protect business logic based on known risks identified through threat modelling or past findings.,Applicable,To Be Updated / Implemented
Sensitive operations must be protected against race conditions and TOCTOU vulnerabilities.,Applicable,To Be Updated / Implemented
Financial transaction amounts and totals must be validated server-side. Client-supplied values must never be trusted for monetary calculations.,Not applicable,N/A
MPIN and PIN requirements for wallet and financial transactions must be enforced server-side and must not be bypassable through response manipulation.,Not applicable,N/A
Wallet and financial operations must be scoped strictly to the authenticated account owner. Cross-account transfers must require explicit server-side authorization.,Not applicable,N/A
OTPs must be single-use only. They must be invalidated immediately upon successful use and rejected if submitted again.,Applicable,To Be Updated / Implemented
Payment and card verification flows must be validated entirely server-side to prevent amount tampering or verification bypass.,Not applicable,N/A
Subscription and premium access controls must be enforced server-side and must not be unlockable by modifying a client-side response field.,Applicable,To Be Updated / Implemented
Files and Resources,,
"Uploaded files must be validated for type, size, and content before being accepted by the server.",Applicable,To Be Updated / Implemented
Filenames provided by users must be sanitized or ignored entirely to prevent directory traversal and file overwrite attacks.,Applicable,To Be Updated / Implemented
User-supplied input that could be used to load external resources must be validated or ignored to prevent RFI and SSRF.,Applicable,To Be Updated / Implemented
Responses serving downloadable files must include the Content-Disposition: attachment header to prevent in-browser execution.,Applicable,To Be Updated / Implemented
User-controlled file metadata such as filenames and paths must never be passed directly to system APIs or shell commands.,Applicable,To Be Updated / Implemented
"Only code from known, trusted sources must be included or executed. Dynamic includes and remote file loading based on user input are not permitted.",Applicable,To Be Updated / Implemented
Uploaded files must be stored in directories that are not accessible by the web server and must have restricted permissions.,Applicable,To Be Updated / Implemented
The web tier must be configured to serve only files with explicitly permitted extensions to prevent information leakage.,Applicable,Already Implemented
Uploaded files must never be served or executed as HTML or JavaScript content when accessed directly in the browser.,Applicable,To Be Updated / Implemented
"Archive files (zip, tar, gz) must be checked for zip bomb attacks before extraction by enforcing a maximum uncompressed size limit and entry count.",Applicable,To Be Updated / Implemented
Archive extraction must validate that all extracted file paths resolve within the intended target directory. Paths containing ../ traversal sequences must be rejected before extraction to prevent zip slip attacks.,Applicable,To Be Updated / Implemented
API and Web Service,,
All API endpoints must be secured with both authentication and authorization.,Applicable,To Be Updated / Implemented
API responses must include only the data that the authenticated and authorized user is entitled to view.,Applicable,To Be Updated / Implemented
Message headers and payloads must be validated to ensure they have not been modified in transit.,Applicable,To Be Updated / Implemented
"API response payloads must be trimmed to the minimum data required. Fields such as hashed passwords, internal IDs, or other users' data must not be returned to the client.",Applicable,To Be Updated / Implemented
Hidden or undocumented endpoints must be removed from production JavaScript bundles and page source.,Applicable,To Be Updated / Implemented
Server-side outbound HTTP requests must be restricted to an explicit allow list of destinations to prevent Blind SSRF.,Applicable,To Be Updated / Implemented
Deprecated and unused API endpoints must be removed or access-protected in production to minimize the attack surface.,Applicable,To Be Updated / Implemented
GraphQL introspection must be disabled in production environments. Schema discovery must not be available to unauthenticated or unauthorized clients.,Not applicable,N/A
GraphQL queries must enforce a maximum depth limit to prevent deeply nested queries from exhausting server resources.,Not applicable,N/A
GraphQL query complexity and cost must be calculated and limited per request. Alias-based batching attacks must be rate-limited or disallowed.,Not applicable,N/A
"Incoming webhook payloads must be authenticated by validating an HMAC signature (e.g., X-Hub-Signature-256) using a shared secret before processing the request.",Applicable,To Be Updated / Implemented
"Webhook endpoints must prevent replay attacks by rejecting payloads with a timestamp outside a defined window (e.g., +/- 5 minutes) or by recording and checking nonces.",Applicable,To Be Updated / Implemented
API endpoints must only accept and process explicitly allowlisted fields from request bodies. User-supplied JSON must not be deserialized directly into model objects without strict field filtering to prevent mass assignment.,Applicable,To Be Updated / Implemented
"Every API endpoint that accesses a resource by ID must verify that the specific object belongs to (or is explicitly shared with) the requesting user. Authorization must be re-evaluated per resource on every request, not assumed from login state alone.",Applicable,To Be Updated / Implemented
"REST API endpoints must enforce rate limits per authenticated user and per IP address, returning 429 Too Many Requests with Retry-After and X-RateLimit headers when limits are exceeded.",Applicable,To Be Updated / Implemented
"Collection endpoints that return lists of resources must enforce a maximum page size. Requests with a limit or page_size parameter exceeding the maximum must be capped server-side, not fulfilled in full.",Applicable,To Be Updated / Implemented
API endpoints must validate the Content-Type header on incoming requests. Requests with an unexpected or missing content type must be rejected with 415 Unsupported Media Type before the body is parsed or processed.,Applicable,To Be Updated / Implemented
"When an API version or endpoint is deprecated but not yet removed, it must return Sunset and Deprecation response headers so consumers can identify and migrate away before removal.",Applicable,To Be Updated / Implemented
"When the application consumes third-party or internal service APIs, responses must be validated against an expected schema before the data is used, stored, or rendered. Data from external APIs must not be trusted as safe or correctly formed.",Applicable,Already Implemented
API endpoints must ignore X-HTTP-Method-Override headers and _method query parameters unless the application explicitly requires them. These must not be used to tunnel non-permitted HTTP methods through POST requests.,Applicable,To Be Updated / Implemented
Configuration,,
The application stack must be deployable using infrastructure-as-code or CI/CD pipelines.,Applicable,To Be Updated / Implemented
Outdated libraries and dependencies must be detected using a software composition analysis tool.,Applicable,To Be Updated / Implemented
"Unnecessary features, sample applications, and default files (e.g., /examples/, /docs/, /test/) must be removed from the web root.",Applicable,To Be Updated / Implemented
Subresource Integrity (SRI) must be applied to all externally loaded scripts and stylesheets to protect against CDN compromise.,Applicable,To Be Updated / Implemented
A Software Bill of Materials (SBOM) must be available or generated for each release.,Applicable,To Be Updated / Implemented
HTTP headers and error pages must not expose version information such as Apache/2.4.49 or X-Powered-By: PHP.,Applicable,Already Implemented
All text-based responses must include a valid Content-Type header with appropriate character encoding.,Applicable,To Be Updated / Implemented
A Content Security Policy (CSP) must be implemented.,Applicable,To Be Updated / Implemented
The X-Content-Type-Options: nosniff header must be present on all responses.,Applicable,To Be Updated / Implemented
Strict-Transport-Security (HSTS) must be enabled with includeSubDomains and a secure max-age value.,Applicable,To Be Updated / Implemented
"The Referrer-Policy header must be configured to limit referrer leakage (e.g., strict-origin or no-referrer).",Applicable,To Be Updated / Implemented
Clickjacking protection must be implemented using X-Frame-Options or the frame-ancestors directive in CSP.,Applicable,To Be Updated / Implemented
"The server must reject unexpected HTTP methods such as TRACE, PUT, and DELETE where they are not required.",Applicable,To Be Updated / Implemented
The Origin header must be treated as informational only and must not be used to make access control decisions.,Applicable,Already Implemented
"CORS must be configured to allow only trusted, explicitly listed origins. Wildcard and null values are not permitted.",Applicable,To Be Updated / Implemented
The Content Security Policy must avoid unsafe-inline and unsafe-eval directives where possible. Nonce or hash-based CSP must be used instead.,Applicable,To Be Updated / Implemented
WordPress-specific default endpoints such as xmlrpc.php and wp-login.php must be disabled or protected from unauthenticated access.,Not applicable,N/A
"Configuration and installation files such as .env, config.php, web.config, and composer.json must not be accessible from the web root in production.",Applicable,To Be Updated / Implemented
"Deactivated or unused plugins, themes, and components must be fully removed from the application, not merely disabled.",Applicable,To Be Updated / Implemented
WordPress debug logging must be disabled in production. WP_DEBUG and WP_DEBUG_LOG must be set to false.,Not applicable,N/A
"Deprecated HTTP response headers such as X-XSS-Protection, Expect-CT, and X-Powered-By must be removed from all responses.",Applicable,To Be Updated / Implemented
Docker containers must run as a non-root user. The USER directive in the Dockerfile must specify a non-privileged user. Containers must not be run with --privileged or --cap-add beyond what is strictly required.,Not applicable,N/A
"Container images must be scanned for known CVEs before deployment using a container scanning tool (e.g., Trivy, Snyk Container, AWS ECR image scanning). Images with critical or high-severity vulnerabilities must not be promoted to production.",Not applicable,N/A
"Secrets, credentials, and .env files must not be baked into Docker image layers. Build-time secrets must use --secret mount or multi-stage build patterns. Runtime secrets must be injected via a secrets manager or environment injection at runtime, not embedded in the image.",Not applicable,N/A
Compliance / Data Privacy,,
Users must be able to request access to all personal data held about them.,Applicable,To Be Updated / Implemented
Users must be able to request correction of inaccurate personal data.,Applicable,To Be Updated / Implemented
Users must be able to request permanent deletion of their personal data (right to be forgotten).,Applicable,To Be Updated / Implemented
Users must be able to object to specific uses of their personal data such as marketing.,Applicable,To Be Updated / Implemented
User data requests must be fulfilled within one month as required by GDPR.,Applicable,To Be Updated / Implemented
Explicit user consent must be obtained and recorded before collecting or processing any personal data.,Applicable,To Be Updated / Implemented
The signup and signin pages must provide users access to the privacy policy and terms and conditions.,Applicable,To Be Updated / Implemented
The privacy policy must be kept up to date and users must be notified of any changes.,Applicable,To Be Updated / Implemented
All third-party SDKs and services must be covered by Data Processing Agreements (DPAs).,Applicable,To Be Updated / Implemented
Only the minimum personal data required for app functionality must be collected.,Applicable,To Be Updated / Implemented
Collected data must be used only for the purposes disclosed at the time of collection.,Applicable,To Be Updated / Implemented
"A cookie consent banner must be implemented allowing users to accept or reject non-essential cookies by category (analytics, marketing, essential) before any tracking cookies are set. (GDPR)",Applicable,To Be Updated / Implemented
"Explicit, affirmative consent must be collected and recorded with a timestamp and consent version before personal data is processed. Pre-ticked boxes are not permitted. (GDPR)",Applicable,To Be Updated / Implemented
"A data portability feature must be implemented, allowing users to export their personal data in a structured, machine-readable format such as JSON or CSV. (GDPR)",Applicable,Already Implemented
"A consent withdrawal mechanism must be implemented. Users must be able to revoke consent at any time, and data processing must stop immediately upon withdrawal. (GDPR)",Applicable,To Be Updated / Implemented
Each personal data field collected must be limited to what is strictly necessary for the stated purpose. (GDPR),Applicable,To Be Updated / Implemented
Personal data must be automatically deleted or anonymised after the retention period specified in the privacy policy has elapsed. (GDPR),Applicable,To Be Updated / Implemented
Users under the age of 16 must not be permitted to register without verifiable parental consent. (GDPR),Applicable,To Be Updated / Implemented
"Separate consent must be collected for profiling and automated decision-making, with an opt-out option available. (GDPR)",Applicable,To Be Updated / Implemented
"A privacy notice must be displayed at each point of data collection, stating the purpose, lawful basis, and retention period. (GDPR)",Applicable,To Be Updated / Implemented
Breach detection events such as unauthorised access and bulk data exports must be logged with sufficient detail to support a 72-hour notification to the supervisory authority. (GDPR),Applicable,To Be Updated / Implemented
No data must be sent to a third-party SDK before user consent has been obtained and recorded. (GDPR),Applicable,To Be Updated / Implemented
"A clear, plain-language consent notice must be displayed before personal data is collected, stating the exact purpose for which it will be used. (India DPDPA)",Applicable,To Be Updated / Implemented
A consent withdrawal feature must be implemented. Users must be able to withdraw consent at any time and data processing must cease immediately. (India DPDPA),Applicable,To Be Updated / Implemented
Personal data processing must be strictly limited to the purposes stated in the consent notice. Secondary use without fresh consent is not permitted. (India DPDPA),Applicable,To Be Updated / Implemented
A feature must be implemented allowing users to view a summary of their personal data currently held and processed by the application. (India DPDPA),Applicable,To Be Updated / Implemented
"A nomination feature must be implemented, allowing users to designate another individual to exercise their data rights on their behalf. (India DPDPA)",Applicable,To Be Updated / Implemented
"A grievance submission mechanism must be implemented in the application, such as an in-app form or a clearly visible contact point for data-related complaints. (India DPDPA)",Applicable,Already Implemented
"Age verification must be implemented to identify users under 18, and verifiable parental or guardian consent must be collected before processing their data. (India DPDPA)",Applicable,To Be Updated / Implemented
"Behavioural profiling, tracking, and targeted advertising of users under 18 must be blocked at the application level. (India DPDPA)",Applicable,To Be Updated / Implemented
Cross-border data transfers must be implemented only to countries approved by the Central Government. Transfers to non-approved destinations must be blocked. (India DPDPA),Applicable,To Be Updated / Implemented
Internal personal data breach events must be logged so that the relevant authority can be notified within the prescribed timeline. (India DPDPA),Applicable,To Be Updated / Implemented
"A privacy notice must be displayed to users at the time of data collection, stating the purpose, categories of data collected, and their rights. (Jamaica DPA)",Applicable,To Be Updated / Implemented
Personal data collection must be strictly limited to the purposes disclosed. Fields beyond what is needed for the stated function must not be collected. (Jamaica DPA),Applicable,To Be Updated / Implemented
Personal data must be retained only for the period required for its purpose and must be automatically deleted or anonymised afterwards. (Jamaica DPA),Applicable,To Be Updated / Implemented
An opt-out mechanism for direct marketing must be implemented. Users must be able to unsubscribe from marketing communications both in-app and via email. (Jamaica DPA),Applicable,To Be Updated / Implemented
"Special personal information such as health, financial, and biometric data must be stored with additional encryption and access controls beyond standard PII. (Jamaica DPA)",Not applicable,N/A
Cross-border data transfers must be restricted to jurisdictions with equivalent data protection standards unless explicit user consent has been obtained. (Jamaica DPA),Applicable,To Be Updated / Implemented
Personal data accuracy must be maintained. Stale or incorrect records must be flagged and updatable by the data subject. (Jamaica DPA),Applicable,To Be Updated / Implemented
